fid,Organizati,Address,City,State,Postcode,Main Phone,Discipline,Council Di,Community,Borough,Latitude,Longitude,Census Tra,BIN,BBL,NTA
"1",122 Community Center Inc.,150 First Avenue,New York,NY,"10009",(917) 864-5050,,Manhattan Council District #2,,Manhattan,40.728261,-73.984785,"34","1005894",1004370001,East Village
"2",24 Hour Company,151 Bank Street,New York,NY,"10014",(646) 909-1321,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.736112,-74.009053,"79","1012047",1006390001,West Village
"3","42nd Street Workshop, Inc.",421 Eighth Avenue,New York,NY,"10116",(212) 695-4173,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.751024,-73.994326,"103","1084820",1007550040,Hudson Yards-Chelsea-Flatiron-Union Square
"4","52nd Street Project, Inc.",789 Tenth Avenue,New York,NY,"10019",(212) 333-5252,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.766661,-73.990365,"135","1087777",1010817502,Clinton
"5","7 Loaves, Inc.","239 East 5th Street, #1D",New York,NY,"10003",(212) 777-3891,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.727323,-73.990251,"38","1006629",1004610035,East Village
"6",A Blade of Grass Fund,81 Prospect Street,Brooklyn,NY,"11201",(646) 358-1164,Visual Arts,Manhattan Council District #3,Manhattan Community Board #5,Brooklyn,40.700663,-73.987536,"21","3000163",3000640025,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"7",A Gathering of the Tribes,285 East 3rd Street,New York,NY,"10009",(212) 674-8262,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.72144,-73.980017,"2601","1004405",1003730063,Lower East Side
"8",AAMC Foundation,174 East 80th Street,New York,NY,"10075",(646) 405-8057,Visual Arts,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,40.77528,-73.957562,"140","1047499",1015080142,Upper East Side-Carnegie Hill
"9",ABC No Rio,"107 Suffolk Street, #305",New York,NY,"10002",(212) 254-3697,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.718943,-73.986122,"1402","1004301",1003530054,Lower East Side
"10","ACMP Associated Chamber Music Players, Inc.","1133 Broadway, Suite 810",New York,NY,"10010",(212) 645-7424,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.743523,-73.989073,"58","1015625",1008270049,Hudson Yards-Chelsea-Flatiron-Union Square
"11","AFC New York, Inc.",20 Jay Street,Brooklyn,NY,"11201",(718) 753-3464,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #34,Brooklyn Community Board #3,Brooklyn,40.704313,-73.986587,"21","3000010",3000190001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"12","AGM Theater Company, Inc.",130 Malcolm X Blvd. Suite #431,New York,NY,"10026",(917) 399-6964,Theater,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,40.802359,-73.949425,"190","1085936",1016007501,Central Harlem South
"13","AHL Foundation, Inc.","420 West 23rd Street, #7A",New York,NY,"10011",(516) 983-3935,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.746836,-74.002162,"93","1012691",1007207501,Hudson Yards-Chelsea-Flatiron-Union Square
"14","ARC on 4th Street, Inc.",59 East 4th Street,New York,NY,"10003",(212) 477-5340,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,,Manhattan,40.726785,-73.990807,"38","1082642",1004600056,East Village
"15","Aaron Davis Hall, Inc.",150 Convent Avenue,New York,NY,"10031",(212) 281-9240,"Multi-Discipline, Performing",Manhattan Council District #7,Manhattan Community Board #9,Manhattan,40.818329,-73.95102,"21303","1086181",1019710018,Manhattanville
"16",Abraham Lincoln Brigade Archives,"799 Broadway, Ste. 341",New York,NY,"10003",(212) 674-5398,Humanities,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.732343,-73.991315,"61","1009108",1005620024,West Village
"17","Abundant Waters, Inc.",400 W.43rd St. #36G,New York,NY,"10036",(212) 564-2589,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.759302,-73.992636,"121","1083745",1010520001,Clinton
"18",Academy of American Poets,75 Maiden Lane,New York,NY,"10038",(212) 274-0343 x19,Literature,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.707657,-74.007758,"1502","1001112",1000680011,Battery Park City-Lower Manhattan
"19",Access Theater,380 Broadway,New York,NY,"10013",(212) 966-1047,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.718112,-74.002958,"31","1002317",1001950001,SoHo-TriBeCa-Civic Center-Little Italy
"20",Actors Company Theatre,"900 Broadway, Ste. 905",New York,NY,"10003",(212) 645-8228,Theater,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,40.739109,-73.989773,"52","1016184",1008480061,Hudson Yards-Chelsea-Flatiron-Union Square
"21","Actors Theatre Workshop, Inc.","145 W. 28th St., 3rd Floor",New York,NY,"10001",(212) 947-1386,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.746602,-73.991829,"95","1015100",1008040011,Midtown-Midtown South
"22",Actors' Fund of America,"729 Seventh Avenue, 10th Floor",New York,NY,"10019",(212) 221-7300,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.760103,-73.983973,"125","1022699",1010017501,Midtown-Midtown South
